,strDrink,idDrink,strDrinkAlternate,strDrinkES,strDrinkDE,strDrinkFR,strDrinkZH-HANS,strDrinkZH-HANT,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsZH-HANS,strInstructionsZH-HANT,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strCreativeCommonsConfirmed,dateModified
95,National Aquarium,13192,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,,Alle Zutaten in einen Shaker mit Eis geben. Gut schütteln. Auf Eis servieren.,,,,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,,No,2017-08-24 09:57:01
96,National Aquarium,13192,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,,Alle Zutaten in einen Shaker mit Eis geben. Gut schütteln. Auf Eis servieren.,,,,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,,No,2017-08-24 09:57:01
97,National Aquarium,13192,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,,Alle Zutaten in einen Shaker mit Eis geben. Gut schütteln. Auf Eis servieren.,,,,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,,No,2017-08-24 09:57:01
98,National Aquarium,13192,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,,Alle Zutaten in einen Shaker mit Eis geben. Gut schütteln. Auf Eis servieren.,,,,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,,No,2017-08-24 09:57:01
99,Orange Crush,15330,,,,,,,,,Shot,,Alcoholic,Shot glass,Add all ingredients to tumbler-Pour as shot,,Geben Sie alle Zutaten in den Tumbler-Pour als Shot.,,,,Vodka,Triple sec,Orange juice,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,No,2017-09-08 16:52:06
100,Orange Whip,16995,,,,,,,,,Other/Unknown,,Alcoholic,Collins Glass,Pour ingredients over ice and stir.,,Zutaten über Eis gießen und umrühren.,,,,Orange juice,Rum,Vodka,Cream,Ice,,,,,,,,,,,4 oz ,1 oz ,1 oz ,1 package ,Over ,,,,,,,,,,,No,2016-02-03 15:52:39
101,Orange Whip,16995,,,,,,,,,Other/Unknown,,Alcoholic,Collins Glass,Pour ingredients over ice and stir.,,Zutaten über Eis gießen und umrühren.,,,,Orange juice,Rum,Vodka,Cream,Ice,,,,,,,,,,,4 oz ,1 oz ,1 oz ,1 package ,Over ,,,,,,,,,,,No,2016-02-03 15:52:39
102,Orange Whip,16995,,,,,,,,,Other/Unknown,,Alcoholic,Collins Glass,Pour ingredients over ice and stir.,,Zutaten über Eis gießen und umrühren.,,,,Orange juice,Rum,Vodka,Cream,Ice,,,,,,,,,,,4 oz ,1 oz ,1 oz ,1 package ,Over ,,,,,,,,,,,No,2016-02-03 15:52:39
103,Orange Whip,16995,,,,,,,,,Other/Unknown,,Alcoholic,Collins Glass,Pour ingredients over ice and stir.,,Zutaten über Eis gießen und umrühren.,,,,Orange juice,Rum,Vodka,Cream,Ice,,,,,,,,,,,4 oz ,1 oz ,1 oz ,1 package ,Over ,,,,,,,,,,,No,2016-02-03 15:52:39
104,Oreo Mudslide,13499,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,"Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry.",,"Mischen Sie Wodka, Kahlua, Bailey's, Eis und den Oreo gut in einem Mixer. In ein großes mattiertes Glas geben. Mit Schlagsahne und einer Kirsche garnieren.",,,,Vodka,Kahlua,Baileys irish cream,Vanilla ice-cream,Oreo cookie,,,,,,,,,,,1 oz ,1 oz ,1 oz ,2 scoops ,1 ,,,,,,,,,,,No,2016-07-19 11:43:37
105,Passion Fruit Martini,178323,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.,,,,,,Vodka,Sugar Syrup,Passion fruit juice,,,,,,,,,,,,,1 shot,1/2 shot,Full Glass,,,,,,,,,,,,,Yes,
106,Pink Panty Pulldowns,13535,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Shake well,,Gut schütteln,,,,Sprite,Pink lemonade,Vodka,,,,,,,,,,,,,1 L ,2 cups ,2 cups ,,,,,,,,,,,,,No,2016-07-19 12:10:57
107,Pink Penocha,16992,,,,,,,,,Punch / Party Drink,,Alcoholic,Punch bowl,mix all ingredients into bowl keep iced stir frequently,,Alle Zutaten in die Schüssel geben und gleichmäßig rühren.,,,,Everclear,Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,,,,,,750 ml ,1750 ml ,1750 ml ,1 gal ,1 gal ,,,,,,,,,,,No,2017-08-24 09:40:07
108,Popped cherry,13072,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,,"Serviert über Eis in einem hohen Glas mit einer entsteinten Kirsche (kann mehr entsteinte Kirschen hinzufügen, wenn sie in der Stimmung sind)!",,,,Vodka,Cherry liqueur,Cranberry juice,Orange juice,,,,,,,,,,,,2 oz ,2 oz ,4 oz ,4 oz ,,,,,,,,,,,,No,2016-09-08 15:27:05
109,Radioactive Long Island Iced Tea,16984,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.,,Alle Zutaten in einem sehr hohen Glas über Eis gießen. Vorsichtig nippen.,,,,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,No,2017-08-24 09:31:52
110,Radioactive Long Island Iced Tea,16984,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.,,Alle Zutaten in einem sehr hohen Glas über Eis gießen. Vorsichtig nippen.,,,,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,No,2017-08-24 09:31:52
111,Radioactive Long Island Iced Tea,16984,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.,,Alle Zutaten in einem sehr hohen Glas über Eis gießen. Vorsichtig nippen.,,,,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,No,2017-08-24 09:31:52
112,Radioactive Long Island Iced Tea,16984,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.,,Alle Zutaten in einem sehr hohen Glas über Eis gießen. Vorsichtig nippen.,,,,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,No,2017-08-24 09:31:52
113,Radioactive Long Island Iced Tea,16984,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.,,Alle Zutaten in einem sehr hohen Glas über Eis gießen. Vorsichtig nippen.,,,,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,No,2017-08-24 09:31:52
114,Radioactive Long Island Iced Tea,16984,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.,,Alle Zutaten in einem sehr hohen Glas über Eis gießen. Vorsichtig nippen.,,,,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,No,2017-08-24 09:31:52
115,Radioactive Long Island Iced Tea,16984,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.,,Alle Zutaten in einem sehr hohen Glas über Eis gießen. Vorsichtig nippen.,,,,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,No,2017-08-24 09:31:52
116,Radioactive Long Island Iced Tea,16984,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.,,Alle Zutaten in einem sehr hohen Glas über Eis gießen. Vorsichtig nippen.,,,,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,No,2017-08-24 09:31:52
117,Radioactive Long Island Iced Tea,16984,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.,,Alle Zutaten in einem sehr hohen Glas über Eis gießen. Vorsichtig nippen.,,,,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,No,2017-08-24 09:31:52
118,Russian Spring Punch,17214,,,,,,,"IBA,NewEra",,Ordinary Drink,New Era Drinks,Alcoholic,Highball glass,"Pour the ingredients into an highball glass, top with Sparkling wine.",,Die Zutaten in ein Highball-Glas geben und mit Sekt auffüllen.,,,,Vodka,Creme de Cassis,Sugar Syrup,Lemon Juice,,,,,,,,,,,,2.5 cl,1.5 cl,1 cl,2.5 cl,,,,,,,,,,,,No,2017-09-02 18:31:28
119,San Francisco,15184,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",,"Nimm ein hohes Glas und lege ein paar Eiswürfel hinein, fülle den Wodka darüber und fülle ihn mit Saft, dann die ""Creme"", um die Grenadine einzufüllen, aber sehr vorsichtig an der Seite des Glases, damit sie sich am Boden niederlässt. Garniere mit Orange und Erdbeere.",,,,Vodka,Creme de Banane,Grenadine,Orange juice,,,,,,,,,,,,2 cl ,2 cl ,,,,,,,,,,,,,,No,2017-09-08 17:59:21
120,Screaming Orgasm,13625,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first.",,"Gießen Sie zuerst Wodka, dann Bailey's, dann Kahlua in ein Cocktailglas über zerstoßenes Eis. Rühren. Achtung: Verwenden Sie nur hochwertigen Wodka. Billiger Wodka kann dazu führen, dass der Bailey's gerinnt. Testen Sie Ihre Wodka-Marke, indem Sie jeweils 1 Teelöffel Wodka und einen Teelöffel Bailey's mischen.",,,,Vodka,Baileys irish cream,Kahlua,,,,,,,,,,,,,1 oz ,1 1/2 oz ,1/2 oz ,,,,,,,,,,,,,No,2017-09-02 22:44:30
121,Screwdriver,12162,,,,,,,IBA,,Ordinary Drink,Unforgettables,Alcoholic,Highball glass,Mix in a highball glass with ice. Garnish and serve.,,In einem Highball-Glas mit Eis mischen. Garnieren und servieren.,,,,Vodka,Orange juice,,,,,,,,,,,,,,2 oz ,,,,,,,,,,,,,,,No,2017-09-02 12:36:47
122,Sea breeze,13377,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,,Alle Zutaten in einem mit Eis gefüllten Highball-Glas vermengen. Mit Limettenkeil garnieren.,,,,Vodka,Cranberry juice,Grapefruit juice,,,,,,,,,,,,,1 1/2 oz ,4 oz ,1 oz ,,,,,,,,,,,,,No,2017-09-02 17:59:22
123,Sex on the Beach,12754,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,,Alle Zutaten in einem mit Eis gefüllten Highball-Glas geben. Mit einer Orangenscheibe garnieren.,,,,Vodka,Peach schnapps,Cranberry juice,Grapefruit juice,,,,,,,,,,,,1 oz ,3/4 oz ,,,,,,,,,,,,,,No,2016-07-21 10:12:45
124,Shark Attack,16273,,,,,,,,,Cocktail,,Alcoholic,Pitcher,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,,"Limonade und Wasser nach Anleitung auf dem Dosenrücken mischen. Wenn die Anweisungen besagen, 4 1/3 Dosen Wasser hinzuzufügen, tun Sie dies. In den Krug mischen. Füge 1 1/2 Tasse Wodka (Absolut) hinzu. Gut mischen. In ein Glas zerstoßenes Eis gießen. Ausgezeichnet!",,,,Lemonade,Water,Vodka,,,,,,,,,,,,,1 can ,3 cans ,1 1/2 cup ,,,,,,,,,,,,,No,2017-09-07 15:07:37
125,Vesper,17218,,,,,,,"IBA,NewEra",,Cocktail,New Era Drinks,Alcoholic,Cocktail glass,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",,"Über Eis schütteln, bis es gut abgekühlt ist, dann in einen tiefen Kelch abseihen und mit einer dünnen Scheibe Zitronenschale garnieren.",,,,Gin,Vodka,Lillet Blanc,,,,,,,,,,,,,6 cl,1.5 cl,0.75 cl,,,,,,,,,,,,,No,2017-09-02 18:48:34
126,Vesper,17218,,,,,,,"IBA,NewEra",,Cocktail,New Era Drinks,Alcoholic,Cocktail glass,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",,"Über Eis schütteln, bis es gut abgekühlt ist, dann in einen tiefen Kelch abseihen und mit einer dünnen Scheibe Zitronenschale garnieren.",,,,Gin,Vodka,Lillet Blanc,,,,,,,,,,,,,6 cl,1.5 cl,0.75 cl,,,,,,,,,,,,,No,2017-09-02 18:48:34
127,Vesper,17218,,,,,,,"IBA,NewEra",,Cocktail,New Era Drinks,Alcoholic,Cocktail glass,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",,"Über Eis schütteln, bis es gut abgekühlt ist, dann in einen tiefen Kelch abseihen und mit einer dünnen Scheibe Zitronenschale garnieren.",,,,Gin,Vodka,Lillet Blanc,,,,,,,,,,,,,6 cl,1.5 cl,0.75 cl,,,,,,,,,,,,,No,2017-09-02 18:48:34
128,Vesper,17218,,,,,,,"IBA,NewEra",,Cocktail,New Era Drinks,Alcoholic,Cocktail glass,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",,"Über Eis schütteln, bis es gut abgekühlt ist, dann in einen tiefen Kelch abseihen und mit einer dünnen Scheibe Zitronenschale garnieren.",,,,Gin,Vodka,Lillet Blanc,,,,,,,,,,,,,6 cl,1.5 cl,0.75 cl,,,,,,,,,,,,,No,2017-09-02 18:48:34
129,Victory Collins,12452,,,,,,,,,Ordinary Drink,,Alcoholic,Collins glass,Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.,,Alle Zutaten (außer Orangenscheibe) mit Eis schütteln und in ein Collins-Glas über Eiswürfel abseihen. Die Orangenscheibe dazugeben und servieren.,,,,Vodka,Lemon juice,Grape juice,Powdered sugar,Orange,,,,,,,,,,,1 1/2 oz ,3 oz ,3 oz unsweetened ,1 tsp ,1 slice ,,,,,,,,,,,No,2017-04-23 20:43:39
130,Vodka And Tonic,12460,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve.",,"Gießen Sie Wodka in ein Highball-Glas über Eiswürfel. Mit Tonic Water auffüllen, umrühren und servieren.",,,,Vodka,Tonic water,,,,,,,,,,,,,,2 oz ,,,,,,,,,,,,,,,No,2017-09-07 22:41:40
131,Vodka Fizz,16967,,,,,,,,,Other/Unknown,,Alcoholic,White wine glass,"Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.",,Alle Zutaten mischen. In ein großes Weißweinglas geben und mit Muskatnuss bestreuen.,,,,Vodka,Half-and-half,Limeade,Ice,Nutmeg,,,,,,,,,,,2 oz ,2 oz ,2 oz ,,,,,,,,,,,,,No,2015-09-03 05:24:03
132,Vodka Martini,14167,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.",,"Wodka und Wermut zusammen mit einer Reihe von Eiswürfeln schütteln, in ein Cocktailglas abseihen, die Olive dazugeben und servieren.",,,,Vodka,Dry Vermouth,Olive,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,1 ,,,,,,,,,,,,,No,2015-08-18 15:02:08
133,Vodka Russian,15403,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Mix it as a ordinary drink .,,Mischen Sie es wie ein gewöhnliches Getränk.,,,,Vodka,Schweppes Russchian,,,,,,,,,,,,,,2 oz ,,,,,,,,,,,,,,,No,2016-02-03 15:58:49
134,White Russian,12528,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.,,Gießen Sie Wodka und Kaffeelikör über Eiswürfel in einem old-fashioned Glas. Mit Sahne auffüllen und servieren.,,,,Vodka,Coffee liqueur,Light cream,,,,,,,,,,,,,2 oz ,1 oz ,,,,,,,,,,,,,,No,2016-08-28 18:35:32
135,Zipperhead,16942,,,,,,,,,Shot,,Alcoholic,Whiskey sour glass,"Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top).",,"Das Glas mit Eiswürfeln füllen, Trinkhalm hinzufügen und in den Schnaps geben. Dann fügen Sie die Zutaten in der Reihenfolge hinzu und versuchen Sie, so viel wie möglich geschichtet zu halten (z.B. Chambord unten, dann Wodka, dann Soda oben).",,,,Chambord raspberry liqueur,Vodka,Soda water,,,,,,,,,,,,,1 shot ,1 shot ,Fill with ,,,,,,,,,,,,,No,2017-01-28 16:17:15
136,Zorbatini,16963,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,Prepare like a Martini. Garnish with a green olive.,,Wie ein Martini zubereiten. Mit einer grünen Olive garnieren.,,,,Vodka,Ouzo,,,,,,,,,,,,,,1 1/4 oz Stoli ,1/4 oz ,,,,,,,,,,,,,,No,2017-01-28 16:32:35
137,3-Mile Long Island Iced Tea,15300,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,,Füllen Sie ein 12 cl. Glas mit Eis und Alkohol. Füllen Sie 2/3 des Glases mit Cola und den Rest mit Süß-Sauer. Mit einem Schuss Bitter und Zitronenkeil garnieren.,,,,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,,1-2 dash ,1 wedge ,,,,,,,,No,2016-08-31 19:42:52
138,3-Mile Long Island Iced Tea,15300,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,,Füllen Sie ein 12 cl. Glas mit Eis und Alkohol. Füllen Sie 2/3 des Glases mit Cola und den Rest mit Süß-Sauer. Mit einem Schuss Bitter und Zitronenkeil garnieren.,,,,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,,1-2 dash ,1 wedge ,,,,,,,,No,2016-08-31 19:42:52
139,3-Mile Long Island Iced Tea,15300,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,,Füllen Sie ein 12 cl. Glas mit Eis und Alkohol. Füllen Sie 2/3 des Glases mit Cola und den Rest mit Süß-Sauer. Mit einem Schuss Bitter und Zitronenkeil garnieren.,,,,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,,1-2 dash ,1 wedge ,,,,,,,,No,2016-08-31 19:42:52
140,3-Mile Long Island Iced Tea,15300,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,,Füllen Sie ein 12 cl. Glas mit Eis und Alkohol. Füllen Sie 2/3 des Glases mit Cola und den Rest mit Süß-Sauer. Mit einem Schuss Bitter und Zitronenkeil garnieren.,,,,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,,1-2 dash ,1 wedge ,,,,,,,,No,2016-08-31 19:42:52
141,69 Special,13940,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",,"Gießen Sie 6 cl. Gin. Füge 12 cl. 7-up hinzu. Füge Zitronensaft für den Geschmack hinzu. Wenn Sie zu schwach sind, füllen Sie das Glas mit mehr 7-Up auf.",,,,Gin,7-Up,Lemon juice,,,,,,,,,,,,,2 oz dry ,4 oz ,0.75 oz ,,,,,,,,,,,,,No,2016-08-31 19:44:55
142,A1,17222,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",,"Alle Zutaten in einen Cocktailshaker geben, mischen und über Eis in ein gekühltes Glas servieren.",,,,Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,,,,,,1 3/4 shot ,1 Shot ,1/4 Shot,1/8 Shot,,,,,,,,,,,,No,2017-09-07 21:42:09
143,Abbey Cocktail,17834,,Cóctel de la abadía,Abtei-Cocktail,Cocktail d'Abbaye,修道院鸡尾酒,修道院雞尾酒,,,Ordinary Drink,,Alcoholic,Cocktail glass,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,,Alle Zutaten (außer der Kirsche) mit Eis schütteln und in ein Cocktailglas abseihen. Mit der Kirsche verzieren und servieren.,,,,Gin,Orange bitters,Orange,Cherry,,,,,,,,,,,,1 1/2 oz ,1 dash ,Juice of 1/4 ,1 ,,,,,,,,,,,,Yes,2016-09-02 11:19:28
144,Abbey Martini,17223,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",,"Alle Zutaten in einen Shaker geben und mischen, dann den Inhalt in ein gekühltes Cocktailglas abseihen.",,,,Gin,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,,,,,,,,2 shots ,1 shot ,1 shot ,3 dashes ,,,,,,,,,,,,No,2017-09-07 21:50:03
145,Ace,17225,,,,,,,,,Cocktail,,Alcoholic,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,,Alle Zutaten in einem Cocktailshaker mit Eis schütteln und dann in einem kalten Glas abseihen.,,,,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,,,,,,2 shots ,1/2 shot ,1/2 shot ,1/2 shot,1/2 Fresh,,,,,,,,,,,No,2017-09-07 22:05:06
146,Adam & Eve,17226,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,Shake together all the ingredients and strain into a cold glass.,,Alle Zutaten vermengen und in ein kaltes Glas abseihen.,,,,Gin,Cognac,Creme de Cassis,Fresh Lemon Juice,,,,,,,,,,,,1 shot ,1 shot ,1 shot ,1/8 shot ,,,,,,,,,,,,No,2017-09-07 22:17:58
147,Addison,17228,,,,,,,,,Cocktail,,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,,Alle Zutaten vermengen und in ein kaltes Glas abseihen.,,,,Gin,Vermouth,,,,,,,,,,,,,,1 1/2 shot ,1 1/2 shot ,,,,,,,,,,,,,,No,2017-09-07 22:38:20
148,Alaska Cocktail,11013,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",,"Alle Zutaten mit Eis verrühren, Inhalt in ein Cocktailglas abseihen. Einen Spritzer Zitrone dazugeben und servieren.",,,,Orange bitters,Gin,Yellow Chartreuse,Lemon peel,,,,,,,,,,,,2 dashes ,1 1/2 oz ,3/4 oz ,Twist of ,,,,,,,,,,,,No,2017-01-02 20:08:40
149,Alexander,11014,,,,,,,"IBA,Classic,Dairy",,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,,Alle Zutaten mit Eis schütteln und in ein Cocktailglas abseihen. Muskatnuss darüber streuen und servieren.,,,,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,,,,,No,2016-11-04 09:50:39
150,Allies Cocktail,11022,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",,"Alle Zutaten mit Eis verrühren, Inhalt in ein Cocktailglas abseihen und servieren.",,,,Dry Vermouth,Gin,Kummel,,,,,,,,,,,,,1 oz ,1 oz ,1/2 tsp ,,,,,,,,,,,,,No,2017-01-02 20:15:04
