id,nameDisplay,abv,isOrganic,styleId,style_categoryId,style_category_name,style_name,style_shortName,style_description,style_ibuMin,style_ibuMax,style_abvMin,style_abvMax,style_srmMin,style_srmMax,style_ogMin,style_fgMin,style_fgMax,name,brewery_id,brewery_name,brewery_nameShortDisplay,brewery_isInBusiness,brewery_isVerified,description,originalGravity,ibu,style_ogMax,style_category_description
B0vbr1,Night Wish,10.5,N,43.0,3.0,North American Origin Ales,American-Style Imperial Stout,American Imperial Stout,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",50,80,7,12,40,40,1.08,1.02,1.03,Night Wish,AqEUBQ,New Holland Brewing Company,New Holland,Y,N,https://untappd.com/b/our-brewing-company-night-wish/441252,,,,
YrOqvr,Nitro Irish Stout,4.8,N,23.0,2.0,Irish Origin Ales,Classic Irish-Style Dry Stout,Dry Irish Stout,"Dry stouts have an initial malt and light caramel flavor profile with a distinctive dry-roasted bitterness in the finish. Dry stouts achieve a dry-roasted character through the use of roasted barley. The emphasis of coffee-like roasted barley and a moderate degree of roasted malt aromas define much of the character. Some slight acidity may be perceived but is not necessary. European hop aroma and flavor should be low or not perceived. Dry stouts have medium-light to medium body. Fruity esters are minimal and overshadowed by malt, high hop bitterness, and roasted barley character. Diacetyl (butterscotch) should be very low or not perceived. Head retention and rich character should be part of its visual character.",30,40,3.8,5,40,40,1.038,1.008,1.012,Nitro Irish Stout,IImUD9,Breckenridge Brewery,Breckenridge,Y,N,"Brewed with Irish malts and roasted barley, this easy-going stout adds a welcoming Colorado spirit to a classic old world style. Dark malty flavors evolve into a notable dry character, while the nitrogen charge creates a soft pillowy head that smooths every sip. No glass? No worries. We’ve canned the cascade. Indulge in the nitro experience anywhere life takes you.",,38,,
ZliVSZ,Nitro Lucky U IPA,5.7,N,30.0,3.0,North American Origin Ales,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,Nitro Lucky U IPA,IImUD9,Breckenridge Brewery,Breckenridge,Y,N,"Lucky U is a soulful IPA with just the right amount of hoppiness. Four malts and seven different hops give Lucky U IPA a well-balanced and full flavor. Nitrogen preserves those layers of interesting hop character adding a delightful, smooth mouthfeel. The transformation creates an entirely different IPA experience.

Nitro Luck U IPA's innovative packaging is nitrogen charged, producing a velvety cascading head right inside the can. This allows you to take it anywhere - drinking it from a glass or straight from the can. Enjoy your ""Nitro on the go.""",,68,,
EkVPnE,Nitro Orange Cream Ale,5.5,N,109.0,11.0,Hybrid/mixed Beer,American-Style Cream Ale or Lager,Cream Ale,"Mild, pale, light-bodied ale, made using a warm fermentation (top or bottom) and cold lagering. Hop bitterness and flavor range from very low to low. Hop aroma is often absent. Sometimes referred to as cream ales, these beers are crisp and refreshing. Pale malt character predominates. Caramelized malt character should be absent. A fruity or estery aroma may be perceived. Diacetyl and chill haze should not be perceived. Sulfur character and/or sweet corn-like dimethylsulfide (DMS) should be extremely low or absent from this style of beer.",10,22,4.2,5.6,2,5,1.044,1.004,1.01,Nitro Orange Cream Ale,IImUD9,Breckenridge Brewery,Breckenridge,Y,N,"Nitro Orange Cream Ale is a unique and easy drinking summer beer that got its inspiration from history and nostalgia,” shares Todd Usry, President and Brewmaster of Breckenridge Brewery. “Our Nitro seasonals bring to life each season through inventive flavor combinations. The Nitro Series as a whole is the result of years of experimentation with nitrogen, exploring how it enhances flavor and texture. A nitrogen-infused beer’s cascading pour is mesmerizing, and the softness of its mouthfeel has inspired us to play with different styles and ingredients",,15,,
l4L4RO,Nitro Series: Chocolate Orange Stout,6,N,20.0,1.0,British Origin Ales,Sweet or Cream Stout,Sweet Stout,"Sweet stouts, also referred to as cream stouts, have less roasted bitter flavor and a full-bodied mouthfeel. The style can be given more body with milk sugar (lactose) before bottling. Malt sweetness, chocolate, and caramel flavor should dominate the flavor profile and contribute to the aroma. Hops should balance and suppress some of the sweetness without contributing apparent flavor or aroma. The overall impression should be sweet and full-bodied.",15,25,3,6,40,40,1.045,1.012,1.02,Nitro Series: Chocolate Orange Stout,IImUD9,Breckenridge Brewery,Breckenridge,Y,N,"A twist on an American style stout, Breckenridge Brewery uses Cholaca, pure liquid cacao, and organic orange zest to offer a new way to experience traditional holiday flavors. Roasted malts compliment the chocolate and orange flavors. Mandarina Bavaria hops, a recently developed hop variety from Germany, impart subtle tangerine aromas, enhancing the citrus notes of the beer.",,13,,
Cwuozg,Nitro Vanilla Porter (NVP),4.7,N,18.0,1.0,British Origin Ales,Brown Porter,Brown Porter,"Brown porters are mid to dark brown (may have red tint) in color. No roast barley or strong burnt/black malt character should be perceived. Low to medium malt sweetness, caramel and chocolate is acceptable along with medium hop bitterness. This is a lightto medium-bodied beer. Fruity esters are acceptable. Hop flavor and aroma may vary from being negligible to medium in character.",20,30,4.5,6,20,35,1.04,1.006,1.014,Nitro Vanilla Porter (NVP),IImUD9,Breckenridge Brewery,Breckenridge,Y,N,"Who would have thought deep in the jungles of Papua New Guinea and Madagascar grew the perfect ingredient to build an extraordinary Porter in Colorado? An ale that has all the chocolate and roasted nut flavor of a classic Porter, with an enigmatic surprise thrown in for good measure, real vanilla bean. Breckenridge Brewery’s Vanilla Porter. A vanilla kiss in a rich, dark sea.",,16,,
TOBHd9,No Middle Ground,6.9,N,30.0,3.0,North American Origin Ales,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,No Middle Ground,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,"At first glance, it might seem strange to combine coffee and hoppy beer, but really, the two flavors have a lot in common. Good coffee and hops both have complex and fruity aromas which create layers of flavor. No Middle Ground® is brewed with fruit-forward hop varietals and cold-brewed is added for a unique take on the IPA.",,45,,
NJL9oB,Noble Helles (Batch No. 32218),5,N,78.0,7.0,European-germanic Lager,Münchner (Munich)-Style Helles,Helles,"This beer should be perceived as having low bitterness. It is a medium-bodied, malt-emphasized beer with malt character often balanced with low levels of yeast produced sulfur compounds (character). Certain renditions of this beer style have  a perceivable level of hop flavor (note: hop flavor does not imply hop bitterness) and character but it is essentially balanced with malt character to retain its style identity. Malt character is sometimes bread-like yet always reminiscent of freshly and very lightly toasted malted barley. There should not be any caramel character. Color is light straw to golden. Fruity esters and diacetyl should not be perceived. There should be no chill haze.",18,25,4.5,5.5,4,6,1.044,1.008,1.012,Noble Helles (Batch No. 32218),BznahA,Anheuser-Busch InBev,Anheuser-Busch InBev,Y,N,,,,,
kzcLek,Noble Hopped Lager (Batch No. 32218),5,N,93.0,8.0,North American Lager,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,Noble Hopped Lager (Batch No. 32218),BznahA,Anheuser-Busch InBev,Anheuser-Busch InBev,Y,N,,,,,
QD9dX7,Nooice,6.2,N,72.0,5.0,Belgian And French Origin Ales,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,Nooice,q6vJUK,Oskar Blues Brewery,Oskar Blues,Y,N,,,,,
he3yMK,Nooner Pilsner,5.2,N,98.0,8.0,North American Lager,American-Style Pilsener,American Pilsener,"This classic and unique pre-Prohibition American-style Pilsener is straw to deep gold in color. Hop bitterness, flavor and aroma are medium to high, and use of noble-type hops for flavor and aroma is preferred. Up to 25 percent corn and/or rice in the grist should be used. Malt flavor and aroma are medium. This is a light-medium to medium-bodied beer. Sweet corn-like dimethylsulfide (DMS), fruity esters and American hop-derived citrus flavors or aromas should not be perceived. Diacetyl is not acceptable. There should be no chill haze. Competition organizers may wish to subcategorize this style into rice and corn subcategories.",25,40,5,6,3,6,1.045,1.012,1.018,Nooner Pilsner,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,"A crisp, hoppy take on the original session beer.

Gather your friends, pack the gear, and head out to wherever the day may take you. A midday go-to, Nooner is our take on the classic German-style pilsner—one of the original session beers. Nooner is easy drinking yet packed with the big flavor of spicy and floral whole-cone hops. Its brilliant golden color begs you to take a sip and sink your taste buds into an extremely welcoming beer, full of flavor and balanced by a crisp, dry finish.",,38,,
OhhDEr,Nooner Session IPA,4.8,N,30.0,3.0,North American Origin Ales,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,Nooner Session IPA,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,,1.047,40,,
zdjQs9,Northdown,4.1,N,1.0,1.0,British Origin Ales,Classic English-Style Pale Ale,English Pale,"Classic English pale ales are golden to copper colored and display earthy, herbal English-variety hop character. Note that ""earthy, herbal English-variety hop character"" is the perceived end, but may be a result of the skillful use of hops of other national origins. Medium to high hop bitterness, flavor, and aroma should be evident. This medium-bodied pale ale has low to medium malt flavor and aroma. Low caramel character is allowable. Fruity-ester flavors and aromas are moderate to strong. Chill haze may be in evidence only at very cold temperatures. The absence of diacetyl is desirable, though, diacetyl (butterscotch character) is acceptable and characteristic when at very low levels.",20,40,4.5,5.5,5,5,1.04,1.008,1.016,Northdown,VEY3Xa,Zero Gravity Craft Brewery,Zero Gravity Craft,Y,N,"Maltier and less hoppy than an American pale ale, this English-style Best Bitter is all about balance.",1.044,25,,
WCKkkd,Now You Know,6.1,N,30.0,3.0,North American Origin Ales,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,Now You Know,IImUD9,Breckenridge Brewery,Breckenridge,Y,N,"A bitter, moderately strong American pale ale that uses its clean, supporting malt to showcase its hop character.",,,,
00CxqR,Nut Brown Ale,5.2,N,37.0,3.0,North American Origin Ales,American-Style Brown Ale,American Brown,"American brown ales range from deep copper to brown in color. Roasted malt caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma. American brown ales have evident low to medium hop flavor and aroma, medium to high hop bitterness, and a medium body. Estery and fruity-ester characters should be subdued. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",25,45,4,6.4,15,26,1.04,1.01,1.018,Nut Brown Ale,DifSi4,Wachusett Brewing Company,Wachusett,Y,N,"Very smooth, dark brown, with a rich Belgian specialty finish.",,17,,
2EkHBG,NXS,6.5,N,30.0,3.0,North American Origin Ales,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,NXS,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,This “Left Coast” IPA is a collaboration between Northern California’s Sierra Nevada Brewing Co. and San Diego’s Karl Strauss Brewing Company—who together represent nearly 65 years of brewing experience. NxS is unabashedly hoppy—in true California fashion—and features hop flavors of citrus and tropical fruit with a light and crisp malt body.,,54,,
BEFupD,NxS IPA,9,N,31.0,3.0,North American Origin Ales,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,NxS IPA,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,,,,,
n6p2aw,O'Doul's,0.5,N,139.0,11.0,Hybrid/mixed Beer,Non-Alcoholic (Beer) Malt Beverages,Non-Alcoholic,Non-alcoholic (NA) malt beverages should emulate the character of a previously listed category/subcategory designation but without the alcohol (less than 0.5 percent). Non-alcoholic (beer) malt beverages will inherently have a profile lacking the complexity and balance of flavors which can be attributed to alcohol. They should accordingly not be assessed negatively for reasons related to the absence of alcohol.,,,,,,,,,,O'Doul's,BznahA,Anheuser-Busch InBev,Anheuser-Busch InBev,Y,N,"O'Doul's and O'Doul's Amber are non-alcohol malt beverages. 

O’Doul’s has a mild, sweet taste with a slightly dry finish. O’Doul’s Amber has a rich, slightly sweet taste with flavorful hop finish. 

O’Doul’s and O’Doul’s Amber are brewed as traditional premium beers – fermented and aged to full maturity. The alcohol is then removed through the use of low temperature, low-pressure distillation. This extremely gentle process allows the alcohol to be removed without heating or cooking the beer, which retains the full, rich and delicate flavor and balance of our non-alcohol brews.",,,,
4QiGHK,O'Doul's Amber,0.5,N,101.0,8.0,North American Lager,American-Style Amber Lager,American Amber Lager,"American-style amber lagers are light amber to amber or copper colored. They are medium bodied. There is a noticeable degree of caramel-type malt character in flavor and often in aroma. This is a broad category in which the hop bitterness, flavor, and aroma may be accentuated or may only be present at relatively low levels, yet noticeable. Fruity esters, diacetyl, and chill haze should be absent.",18,30,4.8,5.4,6,14,1.042,1.01,1.018,O'Doul's Amber,BznahA,Anheuser-Busch InBev,Anheuser-Busch InBev,Y,N,"O’Doul’s has a mild, sweet taste with a slightly dry finish. O’Doul’s Amber has a rich, slightly sweet taste with flavorful hop finish. 

O’Doul’s and O’Doul’s Amber are brewed as traditional premium beers – fermented and aged to full maturity. The alcohol is then removed through the use of low temperature, low-pressure distillation. This extremely gentle process allows the alcohol to be removed without heating or cooking the beer, which retains the full, rich and delicate flavor and balance of our non-alcohol brews.",,,,
N9aJxO,Oak Aged Mad Hatter India Pale Ale,7.22,N,31.0,3.0,North American Origin Ales,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,Oak Aged Mad Hatter India Pale Ale,AqEUBQ,New Holland Brewing Company,New Holland,Y,N,"Mad Hatter aged in Kentucky barrels. Round, smooth wood character brings a new dimension to dry-hopped, aromatic hoppiness.",1.05,62,,
Jio9R0,Oatmeal Stout,5,N,21.0,1.0,British Origin Ales,Oatmeal Stout,Oatmeal Stout,"Oatmeal stouts include oatmeal in their grist, resulting in a pleasant, full flavor and a smooth profile that is rich without being grainy. A roasted malt character which is caramel-like and chocolate-like should be evident - smooth and not bitter. Coffee-like roasted barley and roasted malt aromas (chocolate and nut-like) are prominent. Color is dark brown to black. Bitterness is moderate, not high. Hop flavor and aroma are optional but should not overpower the overall balance if present. This is a medium- to full- bodied beer, with minimal fruity esters. Diacetyl should be absent or at extremely low levels. Original gravity range and alcohol levels are indicative of English tradition of oatmeal stout.",20,40,3.8,6,20,20,1.038,1.008,1.02,Oatmeal Stout,IImUD9,Breckenridge Brewery,Breckenridge,Y,N,"Rich, round and roasted, our Oatmeal Stout is satisfaction in a glass. It's a bold, smooth-bodied concoction that oozes dark-roasted coffee aromas and flavors of espresso and semi-sweet chocolate. We round out these heady pleasures with a dose of flaked oatmeal for a creamy body and a semi-dry finish.

Unforgettable.

Yeast: Top Fermenting Ale Yeast
Malts: Two Row Pale, Caramel, Roasted Barley, Chocolate, Oat Flakes, Black
Hops: Chinook, Perle",,31,,
1HeKZM,Oatmeal Stout - Beer Camp #45,9,N,21.0,1.0,British Origin Ales,Oatmeal Stout,Oatmeal Stout,"Oatmeal stouts include oatmeal in their grist, resulting in a pleasant, full flavor and a smooth profile that is rich without being grainy. A roasted malt character which is caramel-like and chocolate-like should be evident - smooth and not bitter. Coffee-like roasted barley and roasted malt aromas (chocolate and nut-like) are prominent. Color is dark brown to black. Bitterness is moderate, not high. Hop flavor and aroma are optional but should not overpower the overall balance if present. This is a medium- to full- bodied beer, with minimal fruity esters. Diacetyl should be absent or at extremely low levels. Original gravity range and alcohol levels are indicative of English tradition of oatmeal stout.",20,40,3.8,6,20,20,1.038,1.008,1.02,Oatmeal Stout - Beer Camp #45,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,"This big oatmeal stout is midnight black in color-with a big, roasty, mocha-like aroma. It has a silky body from the use of rolled oats, and a round and lasting finish. Perfect as an after dinner treat",,,,
qACg0q,Oatmeal Stout ,5.5,Y,21.0,1.0,British Origin Ales,Oatmeal Stout,Oatmeal Stout,"Oatmeal stouts include oatmeal in their grist, resulting in a pleasant, full flavor and a smooth profile that is rich without being grainy. A roasted malt character which is caramel-like and chocolate-like should be evident - smooth and not bitter. Coffee-like roasted barley and roasted malt aromas (chocolate and nut-like) are prominent. Color is dark brown to black. Bitterness is moderate, not high. Hop flavor and aroma are optional but should not overpower the overall balance if present. This is a medium- to full- bodied beer, with minimal fruity esters. Diacetyl should be absent or at extremely low levels. Original gravity range and alcohol levels are indicative of English tradition of oatmeal stout.",20,40,3.8,6,20,20,1.038,1.008,1.02,Oatmeal Stout ,4F7QA9,Portsmouth Brewery,Portsmouth,Y,N,The addition of flaked oats adds a “smooth” texture to this big black ale. Its chocolate roasty flavors are tightened up by a well-balanced hop flavor.,,30,,
s5V8YM,Obliterator,10.5,N,90.0,7.0,European-germanic Lager,German-Style Doppelbock,Doppelbock,"Malty sweetness is dominant but should not be cloying. Malt character is more reminiscent of fresh and lightly toasted Munich- style malt, more so than caramel or toffee malt character. Some elements of caramel and toffee can be evident and contribute to complexity, but the predominant malt character is an expression of toasted barley malt. Doppelbocks are full bodied and deep amber to dark brown in color. Astringency from roast malts is absent. Alcoholic strength is high, and hop rates increase with gravity. Hop bitterness and flavor should be low and hop aroma absent. Fruity esters are commonly perceived but at low to moderate levels. Diacetyl should be absent",17,27,6.5,8,12,30,1.074,1.014,1.02,Obliterator,q6vJUK,Oskar Blues Brewery,Oskar Blues,Y,N,,,,,
cJvlzs,Octoberfest,5.2,N,81.0,7.0,European-germanic Lager,German-Style Märzen,Märzen,Märzens are characterized by a medium body and broad range of color. They can range from golden to reddish orange. Sweet maltiness should dominate slightly over a clean hop bitterness. Malt character should be light-toasted rather than strongly caramel (though a low level of light caramel character is acceptable). Bread or biscuit-like malt character is acceptable in aroma and flavor. Hop aroma and flavor should be low but notable. Ale-like fruity esters should not be perceived. Diacetyl and chill haze should not be perceived.,18,25,5.3,5.9,4,15,1.05,1.012,1.02,Octoberfest,DifSi4,Wachusett Brewing Company,Wachusett,Y,N,We use traditional Oktoberfest specialty malts and hops to handcraft our interpretation of the style. Deep copper color with a predominant Euro-malty flavor and balanced bitterness.,,21,,
oBponF,Oculto,6,N,93.0,8.0,North American Lager,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,Oculto,BznahA,Anheuser-Busch InBev,Anheuser-Busch InBev,Y,N,,,,,
798rjW,Oh Saisonna,8.3,N,72.0,5.0,Belgian And French Origin Ales,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,Oh Saisonna,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,,,,,
ADXvig,Oktober-Fiesta,5.5,N,101.0,8.0,North American Lager,American-Style Amber Lager,American Amber Lager,"American-style amber lagers are light amber to amber or copper colored. They are medium bodied. There is a noticeable degree of caramel-type malt character in flavor and often in aroma. This is a broad category in which the hop bitterness, flavor, and aroma may be accentuated or may only be present at relatively low levels, yet noticeable. Fruity esters, diacetyl, and chill haze should be absent.",18,30,4.8,5.4,6,14,1.042,1.01,1.018,Oktober-Fiesta,941OaA,Last Name Brewing,Dale Bros.,Y,N,"This is an Oktoberfest beer with a twist.  In the new world tradition for this style, Oktober-Fiesta is made with darker malts than its German counterpart.  The malts in this case are dark Caramel Munichs that give the beer a slight tang not usually found in the style.  Hops are of the Noble varieties, but take a back seat to the malt forward flavors.",1.057,25,,
Pwu2fR,Oktoberfest (2015),6,N,102.0,8.0,North American Lager,American-Style Märzen / Oktoberfest,American Oktoberfest,The American style of these classic German beers is distinguished by a comparatively greater degree of hop character. In general the style is characterized by a medium body and broad range of color from golden to reddish brown. Sweet maltiness should dominate over clean hop bitterness. The bitterness should not be aggressive or harsh. Malt character should be light-toasted rather than strongly caramel (though a low level of light caramel character is acceptable). Bread or biscuit-like malt character is acceptable in aroma and flavor. Hop aroma and flavor should be notable but at low to medium levels. Fruity esters should not be perceived. Diacetyl and chill haze should not be perceived.,20,30,5.3,5.9,4,15,1.05,1.012,1.02,Oktoberfest,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,"Released each fall starting in 2015, this collaborative seasonal will feature a different German brewery every year. 

“We’re honored that Brauhaus Riegele, a real cornerstone of German craft brewing, is kicking off this Oktoberfest collaboration with us,” said Ken Grossman, Sierra Nevada’s founder.

Family owned like Sierra Nevada, Brauhaus Riegele has brewed excellent craft beers since 1386, and more than 600 years later, its innovation earns accolades including 2015 Craft Brewer of the Year at the Meininger International Craft Beer Awards. Just as Sierra Nevada’s Ken and Brian Grossman lead as a father-son team, Brauhaus Riegele has a father-son duo at the helm. Its 27th generation Master Brewer Dr. Sebastian Priller-Riegele works alongside his son Sebastian Priller-Riegele, a World Champion Beer Sommelier, to brew a lineup of beers that together have earned more than 200 awards and medals stateside and abroad.",,30,,
